MAC_address,module_name,latitude,longitude,altitude,city,full_modules
70:ee:50:29:0d:30,['02:00:00:29:24:3c'],174.6565254,-37.1920453,86,Franklin,"['02:00:00:29:24:3c', '06:00:00:03:53:04', '05:00:00:05:32:90']"
70:ee:50:37:15:fa,['02:00:00:36:e8:b0'],174.743732683142,-37.2564159084419,44,Franklin,"['06:00:00:03:d8:c2', '02:00:00:36:e8:b0', '05:00:00:05:1f:3a']"
70:ee:50:7f:fe:6e,['02:00:00:7f:c4:e0'],174.878389,-37.201993,91,Franklin,['02:00:00:7f:c4:e0']
70:ee:50:96:b2:a0,['02:00:00:96:af:4c'],174.919896,-37.194393,58,Franklin,"['02:00:00:96:af:4c', '06:00:00:03:b3:88', '05:00:00:0a:4d:d2']"
70:ee:50:3a:2a:da,['02:00:00:3a:37:92'],175.008815,-37.240143,52,Pōkeno,['02:00:00:3a:37:92']
70:ee:50:36:fd:2a,['02:00:00:36:aa:3e'],175.483993530273,-37.2665710449219,6,Ngatea,['02:00:00:36:aa:3e']
70:ee:50:9c:e9:5e,['02:00:00:a2:06:ba'],175.571868,-37.255858,6,Turua,"['02:00:00:a2:06:ba', '05:00:00:0a:44:74']"
70:ee:50:96:be:14,['02:00:00:96:b2:fa'],174.831356,-37.187581,72,Franklin,"['02:00:00:96:b2:fa', '05:00:00:09:3a:b0', '06:00:00:05:9a:22']"
70:ee:50:83:c9:0a,['02:00:00:83:b2:dc'],174.918356,-37.187113,65,Franklin,"['06:00:00:05:9b:c0', '02:00:00:83:b2:dc', '05:00:00:09:26:8a']"
70:ee:50:20:c5:3a,['02:00:00:20:de:a6'],175.000045776367,-37.1704635620117,130,Franklin,"['02:00:00:20:de:a6', '05:00:00:02:eb:1e', '06:00:00:01:a1:20']"
70:ee:50:20:8a:24,['02:00:00:96:d2:90'],175.008635,-37.145659,214,Franklin,"['02:00:00:96:d2:90', '05:00:00:05:83:4c']"
70:ee:50:3a:22:9a,['02:00:00:96:c3:50'],175.096588134766,-37.1049270629883,101,Franklin,"['02:00:00:96:c3:50', '05:00:00:06:27:ba']"
70:ee:50:29:52:72,['02:00:00:29:44:c8'],174.842226,-37.084175,27,Franklin,['02:00:00:29:44:c8']
70:ee:50:3c:1c:94,['02:00:00:3b:e3:32'],174.98358,-37.09302,105,Franklin,"['02:00:00:3b:e3:32', '05:00:00:06:3e:1a', '06:00:00:03:51:72']"
70:ee:50:3c:0b:9c,['02:00:00:3b:ee:14'],174.907619167694,-37.0523650251703,16,Papakura,"['02:00:00:3b:ee:14', '05:00:00:06:47:e6']"
70:ee:50:2c:8e:72,['02:00:00:2c:91:64'],175.05786,-37.097782,150,Franklin,['02:00:00:2c:91:64']
70:ee:50:3a:36:cc,['02:00:00:7f:e9:a4'],175.069042,-37.065766,129,Franklin,"['02:00:00:7f:e9:a4', '05:00:00:05:32:50', '06:00:00:01:d5:7a']"
70:ee:50:19:dc:32,['02:00:00:19:e2:c2'],174.469419,-36.951315,26,Waitakere Ranges,['02:00:00:19:e2:c2']
70:ee:50:1f:73:5c,['02:00:00:1f:37:2a'],174.633449,-36.952075,76,Waitākere Ranges,"['02:00:00:1f:37:2a', '05:00:00:03:24:c0']"
70:ee:50:29:4f:8c,['02:00:00:2d:0b:f4'],174.669788,-36.937741,79,Waitakere Ranges,"['02:00:00:2d:0b:f4', '06:00:00:05:d7:c0']"
70:ee:50:3c:1b:5a,['02:00:00:3c:02:0e'],174.768048,-36.941752,8,Māngere-Ōtāhuhu,['02:00:00:3c:02:0e']
70:ee:50:3d:20:1e,['02:00:00:3d:26:40'],174.797592,-36.951093,14,Māngere-Ōtāhuhu,"['05:00:00:06:3d:a6', '02:00:00:3d:26:40']"
70:ee:50:3d:13:d6,['02:00:00:3d:16:c4'],174.92636,-36.959946,53,Howick,['02:00:00:3d:16:c4']
70:ee:50:00:a6:ec,['02:00:00:00:af:0e'],174.592138,-36.933562,163,Waitakere Ranges,"['02:00:00:00:af:0e', '05:00:00:05:2f:2a']"
70:ee:50:3d:13:e2,['02:00:00:3d:0d:22'],174.634996,-36.923435,101,Waitakere Ranges,"['02:00:00:3d:0d:22', '05:00:00:06:1d:ba']"
70:ee:50:05:4e:66,['02:00:00:05:0a:0a'],174.643111,-36.933627,124,Waitakere Ranges,"['05:00:00:00:b4:14', '02:00:00:05:0a:0a']"
70:ee:50:96:b4:42,['02:00:00:96:b8:54'],174.699722290039,-36.9303016662598,24,Whau,"['02:00:00:96:b8:54', '06:00:00:01:04:c2', '05:00:00:01:b3:e0']"
70:ee:50:96:ba:90,['02:00:00:96:b3:02'],174.702733,-36.902379,62,Whau,"['02:00:00:96:b3:02', '06:00:00:02:e9:c0']"
70:ee:50:06:02:e4,['02:00:00:70:31:34'],174.704199,-36.8916583885614,46,Whau,"['02:00:00:70:31:34', '05:00:00:06:08:5c']"
70:ee:50:3d:0d:06,['02:00:00:3d:06:b2'],174.884928,-36.922731,22,Howick,"['02:00:00:3d:06:b2', '05:00:00:08:98:3e', '06:00:00:01:04:56']"
70:ee:50:3c:13:6c,['02:00:00:3b:ff:24'],174.80264,-36.913067,27,Maungakiekie-Tāmaki,"['05:00:00:05:2a:60', '02:00:00:3b:ff:24']"
70:ee:50:3a:2d:b8,['02:00:00:3a:2e:8e'],174.811852,-36.858968,47,Ōrākei,['02:00:00:3a:2e:8e']
70:ee:50:3d:04:1e,['02:00:00:3d:17:16'],174.906483,-36.933494,20,Howick,"['02:00:00:3d:17:16', '05:00:00:06:25:d2', '06:00:00:04:d6:5e']"
70:ee:50:3d:19:8e,['02:00:00:3d:0a:72'],174.928334558026,-36.9166037513786,43,Howick,['02:00:00:3d:0a:72']
70:ee:50:96:cb:70,['02:00:00:96:d6:b4'],174.971228,-36.925386,29,Franklin,['02:00:00:96:d6:b4']
70:ee:50:29:53:4c,['02:00:00:29:2d:16'],175.61081364892,-36.8552912718124,52,no city,"['02:00:00:29:2d:16', '05:00:00:08:64:c0']"
